public_row_id,evidence_lane,source_file_public_id,suite_id,instance_id,tier_label,hardware_class,seed,status,claim_pin_status,capability_boundary_status,best_known_source_id,baseline_value_type,best_known_value,objective_value,quality_metric,gap_to_best_known,gap_fraction,gap_percent,timing_claim_allowed,timing_disclosure_status,source_row_sha256,public_row_sha256
gset_breadth-0000001,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G23,T3_RTX4060_TI,remote RTX 4060 Ti,0,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13344,13162.0,0.013639088729016787,182.0,0.013639088729016787,1.363909,false,timing_fields_redacted_not_claimed,65f74830d2045aebe149e4cd90c1e8ace17e9aad74883f34c6e726326264847f,3db77e3b488642e0f16612bb358d61c7277fb5ed97c6d8b0a8d6c34b4f8b2fc6
gset_breadth-0000002,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G23,T3_RTX4060_TI,remote RTX 4060 Ti,1,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13344,13163.0,0.013564148681055157,181.0,0.013564148681055157,1.356415,false,timing_fields_redacted_not_claimed,9391baf3fedc49162ee3bf4cfe00493bd0bde850b0e9ad6b2ad2cf5f11ac8afd,6df51b8c6b8122242e7ac28c66e8064c4e61960200216b2e6d06ff84de7b611d
gset_breadth-0000003,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G23,T3_RTX4060_TI,remote RTX 4060 Ti,2,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13344,13149.0,0.014613309352517985,195.0,0.014613309352517985,1.461331,false,timing_fields_redacted_not_claimed,9c2cc794f0acb3b09c27f0a5b0ad99d572df4dc3a0148e0c76b05cbd4520eca6,21c508cad32cd2d26770fd4914b7d3ee6c3f6403f9f58a7fd019f68d34601f2f
gset_breadth-0000004,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G24,T3_RTX4060_TI,remote RTX 4060 Ti,0,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13337,13156.0,0.013571267901327136,181.0,0.013571267901327136,1.357127,false,timing_fields_redacted_not_claimed,4cf41b274f915e505bf3c6914ed34500a2ff044c6296c3e7cc82d1b6b024d20e,dbfbbcca31d4d9cceadfc8ef58c842170b79e39255f3f2b298992c65ca64dac8
gset_breadth-0000005,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G24,T3_RTX4060_TI,remote RTX 4060 Ti,1,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13337,13179.0,0.011846742145909875,158.0,0.011846742145909875,1.184674,false,timing_fields_redacted_not_claimed,f9f675474e1c305fba2a3e2fcc7a98aeae79537163786a8d0747422c02cd77d3,bd7120d55fe3f805550b72fb460886cb0750ba931c8d84ec7cf8053b7a6177a2
gset_breadth-0000006,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G24,T3_RTX4060_TI,remote RTX 4060 Ti,2,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13337,13168.0,0.012671515333283347,169.0,0.012671515333283347,1.267152,false,timing_fields_redacted_not_claimed,10f4da1bda2dee7fb76602dd7363d50602bb84cf7b3fd32c01650a70376c6e85,16d761e7229921f31dbb620c4d358f4becdca4875da6a2ec5f6ba3abf5640e70
gset_breadth-0000007,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G25,T3_RTX4060_TI,remote RTX 4060 Ti,0,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13340,13243.0,0.00727136431784108,97.0,0.00727136431784108,0.727136,false,timing_fields_redacted_not_claimed,6946ffdc422fe9de543540c0e1c18a3b98d1bc32b83121cefd20ea34b1d8b598,1e04aececbdb5d7da74a1011cbdc96aa4f00823e1f6237388b50ffc623db2267
gset_breadth-0000008,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G25,T3_RTX4060_TI,remote RTX 4060 Ti,1,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13340,13194.0,0.010944527736131934,146.0,0.010944527736131934,1.094453,false,timing_fields_redacted_not_claimed,b2ea24c66b84eb11de588b1c58a28cd118eefd77e5b4ff5c4e1103d0c98a9803,cc62e3f453690c371acf6e6f52d77b24fe257676e109ee3f35ca3881c204c328
gset_breadth-0000009,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G25,T3_RTX4060_TI,remote RTX 4060 Ti,2,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13340,13191.0,0.011169415292353824,149.0,0.011169415292353824,1.116942,false,timing_fields_redacted_not_claimed,41fb95d1354aeaae98202faca72993c69d9f9e38bee8f1de8ed81bf2e6c08ff1,ac4ae1c58ba3c413448f27e82c2dd3add3e39c44742b18dbda0aa846d5c3a861
gset_breadth-0000010,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G26,T3_RTX4060_TI,remote RTX 4060 Ti,0,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13328,13187.0,0.010579231692677072,141.0,0.010579231692677072,1.057923,false,timing_fields_redacted_not_claimed,998f362121898c9be08b56b7b182dc70e2a804053c564153216326d2ea87481a,5e216e3d3f3abfbe42de1d9f69a9c9a0a32e8a84fd4eeffe79e3ada97beca9c4
gset_breadth-0000011,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G26,T3_RTX4060_TI,remote RTX 4060 Ti,1,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13328,13178.0,0.011254501800720289,150.0,0.011254501800720289,1.125450,false,timing_fields_redacted_not_claimed,66fecc729de57198f17ba4338e57f7971b865c2fa7fac480f190f09e8607b710,6cf62aac8d80b7da34eda1030c813bf002b3a115887bb9636bd987a6ed23fff4
gset_breadth-0000012,gset_breadth,gset_2k_positive_breadth_tier3,gset_full,G26,T3_RTX4060_TI,remote RTX 4060 Ti,2,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13328,13111.0,0.016281512605042018,217.0,0.016281512605042018,1.628151,false,timing_fields_redacted_not_claimed,1ecf285fd27f5ded67e2c6353b616c7a85c3047ad6f8b0b945ce86a99e3feead,997574892dd25ffdd37468f1b215ccaaa1196a7ea96d6d552d316b0dbdc98f4c
gset_breadth-0000013,gset_breadth,gset_2k_positive_breadth_tier4,gset_full,G23,T4_RTX5090,remote RTX 5090,0,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13344,13170.0,0.013039568345323741,174.0,0.013039568345323741,1.303957,false,timing_fields_redacted_not_claimed,2a85fe4598fd0734df2480a9e290ed07aa1de219b7729c0afa94676f659d43c9,0ceac35831dbd365955e0e3b968f1f32fd183e60e0f51cd0baf901acf4542ffc
gset_breadth-0000014,gset_breadth,gset_2k_positive_breadth_tier4,gset_full,G23,T4_RTX5090,remote RTX 5090,1,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13344,13188.0,0.011690647482014389,156.0,0.011690647482014389,1.169065,false,timing_fields_redacted_not_claimed,5d9f458835b109299708274a4f1886a572daeae0fc998c70728f92a4ed7c1f57,edd0cb0f823c78c07a25f0c11a7642066080a7e232de5d3a0e7cf41f2a6b89f9
gset_breadth-0000015,gset_breadth,gset_2k_positive_breadth_tier4,gset_full,G23,T4_RTX5090,remote RTX 5090,2,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13344,13183.0,0.012065347721822542,161.0,0.012065347721822542,1.206535,false,timing_fields_redacted_not_claimed,d2319718dfc572af51e5c43015e9cf54b17a3ff3b25a13ba14d030230aa14433,8992420673506707052e72226e42f935a78d63d048c6385d69a2bb3bb9f9f617
gset_breadth-0000016,gset_breadth,gset_2k_positive_breadth_tier4,gset_full,G24,T4_RTX5090,remote RTX 5090,0,completed,passed,fits,benlic_hao_bls_maxcut_2013,best_known_heuristic,13337,13181.0,0.011696783384569243,156.0,0.011696783384569243,1.169678,false,timing_fields_redacted_not_claimed,026e2b825fcbd35c9560c39527849355b7f8733253296cbb03b543cbb9c9a384,3f352080eb09c549052b849a47a9a0e0a3c4e3b1ba22ff768901d7acf414ea0c
